modelo_a,modelo_b,metrica,score_a,score_b,diferencia,dif_ic_lo,dif_ic_hi,discordantes,p_mcnemar,distinguibles
CLIP ViT-B/32 (laion2b),CLIP ViT-B/16 (datacomp_xl),text,0.3475,0.2975,0.04999999999999999,-0.0025000000000000022,0.10249999999999998,116,0.07726226461070672,False
CLIP ViT-B/32 (laion2b),CLIP ViT-B/16 (datacomp_xl),image,0.11,0.0875,0.022500000000000006,-0.009999999999999995,0.05499999999999999,43,0.2220528201560228,False
CLIP ViT-B/32 (laion2b),CLIP ViT-B/16 (datacomp_xl),group,0.075,0.0725,0.0025000000000000022,-0.022500000000000006,0.027499999999999997,27,1.0,False
CLIP ViT-B/32 (laion2b),CLIP ViT-B/16 (datacomp_xl),group_match,0.675,0.6425,0.032500000000000084,-0.017562500000000064,0.08750000000000002,123,0.27919855497607954,False
CLIP ViT-B/32 (laion2b),CLIP ViT-L/14 (openai),text,0.3475,0.2875,0.06,0.0025000000000000022,0.11999999999999997,140,0.051523568581622284,True
CLIP ViT-B/32 (laion2b),CLIP ViT-L/14 (openai),image,0.11,0.11,0.0,-0.037500000000000006,0.03506249999999968,56,1.0,False
CLIP ViT-B/32 (laion2b),CLIP ViT-L/14 (openai),group,0.075,0.085,-0.010000000000000009,-0.039999999999999994,0.01999999999999999,34,0.6075913612730801,False
CLIP ViT-B/32 (laion2b),CLIP ViT-L/14 (openai),group_match,0.675,0.665,0.010000000000000009,-0.04749999999999999,0.07006249999999972,148,0.805320956640181,False
CLIP ViT-B/16 (datacomp_xl),CLIP ViT-L/14 (openai),text,0.2975,0.2875,0.010000000000000009,-0.04749999999999999,0.06256249999999966,128,0.7910074494028781,False
CLIP ViT-B/16 (datacomp_xl),CLIP ViT-L/14 (openai),image,0.0875,0.11,-0.022500000000000006,-0.05750000000000001,0.012499999999999997,53,0.27167916606550335,False
CLIP ViT-B/16 (datacomp_xl),CLIP ViT-L/14 (openai),group,0.0725,0.085,-0.012500000000000011,-0.0425,0.017499999999999988,39,0.5223973804968411,False
CLIP ViT-B/16 (datacomp_xl),CLIP ViT-L/14 (openai),group_match,0.6425,0.665,-0.022500000000000075,-0.07750000000000001,0.03500000000000003,139,0.4975641415966093,False
