modelo,nivel,n,metrica,score,ic_lo,ic_hi,azar,supera_azar,exceso_sobre_azar
CLIP ViT-B/32 (laion2b),todos,400,text,0.3475,0.29993749999999997,0.3975,0.25,True,0.09749999999999998
CLIP ViT-B/32 (laion2b),todos,400,image,0.11,0.08,0.1425,0.25,False,-0.14
CLIP ViT-B/32 (laion2b),todos,400,group,0.075,0.05,0.1025,0.16666666666666666,False,-0.09166666666666666
CLIP ViT-B/32 (laion2b),todos,400,group_match,0.675,0.63,0.72,0.5,True,0.17500000000000004
CLIP ViT-B/32 (laion2b),sin_ambiguos,354,text,0.3474576271186441,0.2994350282485876,0.3983050847457627,0.25,True,0.09745762711864409
CLIP ViT-B/32 (laion2b),sin_ambiguos,354,image,0.11581920903954802,0.08192090395480225,0.1497175141242938,0.25,False,-0.134180790960452
CLIP ViT-B/32 (laion2b),sin_ambiguos,354,group,0.07627118644067797,0.05084745762711865,0.10734463276836158,0.16666666666666666,False,-0.09039548022598869
CLIP ViT-B/32 (laion2b),sin_ambiguos,354,group_match,0.6779661016949152,0.6271186440677966,0.7259887005649718,0.5,True,0.17796610169491522
CLIP ViT-B/32 (laion2b),pares_minimos,327,text,0.3241590214067278,0.27522935779816515,0.3730886850152905,0.25,True,0.07415902140672781
CLIP ViT-B/32 (laion2b),pares_minimos,327,image,0.10397553516819572,0.07339449541284404,0.13761467889908258,0.25,False,-0.14602446483180428
CLIP ViT-B/32 (laion2b),pares_minimos,327,group,0.06116207951070336,0.03669724770642202,0.08868501529051988,0.16666666666666666,False,-0.1055045871559633
CLIP ViT-B/32 (laion2b),pares_minimos,327,group_match,0.6666666666666666,0.6146788990825688,0.7186544342507645,0.5,True,0.16666666666666663
CLIP ViT-B/32 (laion2b),sin_confusores,172,text,0.3488372093023256,0.27906976744186046,0.4186046511627907,0.25,True,0.09883720930232559
CLIP ViT-B/32 (laion2b),sin_confusores,172,image,0.13372093023255813,0.0872093023255814,0.18604651162790697,0.25,False,-0.11627906976744187
