image_id,image_path,tipo_perturbacion,texto,clipscore_simplificado
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,original,an old person kisses a young person,0.2987883
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,negacion,no an old person kisses a young person,0.29028654
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,conteo,dos an old person kisses a young person,0.2968955
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,atributo,an old person kisses a young person de color rojo,0.3016915
wg_0_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00000.jpg,objeto_externo,an old person kisses a young person con un avion visible,0.2863306
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,original,a young person kisses an old person,0.3001449
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,negacion,no a young person kisses an old person,0.28445545
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,conteo,dos a young person kisses an old person,0.29109624
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,atributo,a young person kisses an old person de color rojo,0.29193795
wg_0_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00001.jpg,objeto_externo,a young person kisses an old person con un avion visible,0.28951922
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,original,the taller person hugs the shorter person,0.22986226
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,negacion,no the taller person hugs the shorter person,0.2387219
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,conteo,dos the taller person hugs the shorter person,0.21936552
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,atributo,the taller person hugs the shorter person de color rojo,0.23573528
wg_1_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00002.jpg,objeto_externo,the taller person hugs the shorter person con un avion visible,0.23313944
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,original,the shorter person hugs the taller person,0.23728621
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,negacion,no the shorter person hugs the taller person,0.23925577
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,conteo,dos the shorter person hugs the taller person,0.2296242
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,atributo,the shorter person hugs the taller person de color rojo,0.22193485
wg_1_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00003.jpg,objeto_externo,the shorter person hugs the taller person con un avion visible,0.22888787
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,original,the masked wrestler hits the unmasked wrestler,0.32401356
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,negacion,no the masked wrestler hits the unmasked wrestler,0.3157889
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,conteo,dos the masked wrestler hits the unmasked wrestler,0.31721354
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,atributo,the masked wrestler hits the unmasked wrestler de color rojo,0.31301355
wg_2_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00004.jpg,objeto_externo,the masked wrestler hits the unmasked wrestler con un avion visible,0.3205861
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,original,the unmasked wrestler hits the masked wrestler,0.27789378
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,negacion,no the unmasked wrestler hits the masked wrestler,0.2774178
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,conteo,dos the unmasked wrestler hits the masked wrestler,0.2576542
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,atributo,the unmasked wrestler hits the masked wrestler de color rojo,0.25652054
wg_2_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00005.jpg,objeto_externo,the unmasked wrestler hits the masked wrestler con un avion visible,0.2665932
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,original,a person watches an animal,0.21092762
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,negacion,no a person watches an animal,0.1896915
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,conteo,dos a person watches an animal,0.21547481
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,atributo,a person watches an animal de color rojo,0.19575633
wg_3_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00006.jpg,objeto_externo,a person watches an animal con un avion visible,0.24149597
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,original,an animal watches a person,0.24283329
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,negacion,no an animal watches a person,0.22276731
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,conteo,dos an animal watches a person,0.23710102
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,atributo,an animal watches a person de color rojo,0.23782308
wg_3_1,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00007.jpg,objeto_externo,an animal watches a person con un avion visible,0.24467725
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,original,the person without earrings pays the person with earrings,0.21787935
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,negacion,no the person without earrings pays the person with earrings,0.21253178
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,conteo,dos the person without earrings pays the person with earrings,0.22078833
wg_4_0,/Users/nielspacheco/Desktop/Classes/UNI/Maestria en ciencias Computacion/IA generativa y multimodal/MCC225-ExamenParcial-Winoground/data/raw/images_local/imagen_00008.jpg,atributo,the person without earrings pays the person with earrings de color rojo,0.20188463
